BinomialReptileDatabase,Sex,Family,HigherTaxonomy,SSM,SSBF,bf_plus_sd,bm_plus_sd,svl_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd
Anolis cristatellus,Female,Dactyloidae,Iguania,18,18,5.83,2.3600000000000003,44.08,11.55,7.949999999999999,6.78,13.25
Anolis oculatus,Female,Dactyloidae,Iguania,15,15,16.29,5.140000000000001,58.160000000000004,14.99,9.729999999999999,7.69,17.790000000000003
Podarcis erhardii,Female,Lacertidae,Lacertoidea,160,160,7.3,5.96,66.63,17.98,8.84,7.04,11.389999999999999
Uromastyx aegyptia,Female,Agamidae,Iguania,5,5,118.46000000000001,627.7,287.87,41.32,43.489999999999995,25.49,47.7
Ablepharus kitaibelii,Female,Scincidae,Scincoidea,5,5,0.25,0.89,43.09,6.659999999999999,3.68,2.66,6.15
Lacerta trilineata,Female,Lacertidae,Lacertoidea,12,12,47.41,NA,121.64,36.209999999999994,17.45,14.629999999999999,21.25
Zootoca vivipara,Female,Lacertidae,Lacertoidea,16,16,1.8599999999999999,3.33,55.65,10.239999999999998,6.51,4.95,10.67
Podarcis muralis,Female,Lacertidae,Lacertoidea,21,21,13.57,5.86,61.9,13.05,7.49,5.94,13.57
Pogona vitticeps,Female,Agamidae,Iguania,11,11,72.4934162463253,312.99403265720974,204.83824497326438,46.57477847536557,42.466942210690455,28.301453517294494,57.970927135218396
Sphenodon punctatus,Female,Sphenodontidae,Sphenodontia,70,70,143.9,334.8,214.2,54.5,40.5,29.7,57.9
Crotaphytus antiquus,Female,Crotaphytidae,Iguania,12,12,22.571281292110204,30.156921938165304,92.11051177665152,24.0856406460551,19.292820323027552,NA,NA
Anolis heterodermus,Female,Dactyloidae,Iguania,15,15,20.23,NA,74.64,20.91,10.59,9.34,20.389999999999997
Anolis allisoni,Female,Dactyloidae,Iguania,7,7,3.45,NA,56.07,21.099999999999998,9.440000000000001,6.62,18.900000000000002
Anolis angusticeps,Female,Dactyloidae,Iguania,26,26,2.99,NA,40.86,12.530000000000001,6.23,4.9,12.530000000000001
Anolis aquaticus,Female,Dactyloidae,Iguania,9,9,13.2,NA,60.05,15.58,8.66,7.02,15.73
Anolis auratus,Female,Dactyloidae,Iguania,22,22,3.47,NA,47.7,12.110000000000001,6.37,5.02,12.24
Anolis bahorucoensis,Female,Dactyloidae,Iguania,22,22,2.6500000000000004,NA,32.74,11.82,6.44,5.49,11.82
Anolis baracoae,Female,Dactyloidae,Iguania,3,3,16.88,NA,113.35000000000001,39.220000000000006,22.61,15.68,37.510000000000005
Anolis barahonae,Female,Dactyloidae,Iguania,7,7,42,NA,142.3,44.699999999999996,25.09,21.96,44.72
Anolis brevirostris,Female,Dactyloidae,Iguania,32,32,3.2,NA,39.97,13.07,8.31,6.49,12.8
Anolis brunneus,Female,Dactyloidae,Iguania,24,24,3.2199999999999998,NA,47.84,14.850000000000001,7.680000000000001,5.8,15.200000000000001
Anolis chloris,Female,Dactyloidae,Iguania,4,4,4.5600000000000005,NA,58.449999999999996,14.57,8.26,5.98,14.93
Anolis coelestinus,Female,Dactyloidae,Iguania,26,26,4.69,NA,47.84,15.5,8.64,6.82,15.84
Anolis cuvieri,Female,Dactyloidae,Iguania,9,9,50.269999999999996,NA,124.08,40.86,20.57,18.85,39.07
Anolis cybotes,Female,Dactyloidae,Iguania,44,44,6.19,NA,46.78,16.56,10.01,8.2,16.56
Anolis distichus,Female,Dactyloidae,Iguania,78,78,2.77,NA,41.81,12.8,8.31,6.37,12.55
Anolis equestris,Female,Dactyloidae,Iguania,2,2,28.090000000000003,NA,134.84,45.660000000000004,25.5,18.74,44.59
Anolis evermanni,Female,Dactyloidae,Iguania,44,44,2.74,NA,46.81,14.870000000000001,8.83,6.82,15.200000000000001
Anolis frenatus,Female,Dactyloidae,Iguania,3,3,11.2,NA,77.33999999999999,20.59,12.35,10.33,21.279999999999998
Anolis garmani,Female,Dactyloidae,Iguania,16,16,7.16,NA,75.33,22.04,12.65,10.08,23.029999999999998
Anolis grahami,Female,Dactyloidae,Iguania,17,17,2.73,NA,45.74,15.49,8.34,6.37,14.870000000000001
Anolis gundlachi,Female,Dactyloidae,Iguania,19,19,3.42,NA,46.76,15.15,8.61,6.9399999999999995,14.850000000000001
Anolis humilis,Female,Dactyloidae,Iguania,11,11,2.83,NA,37.709999999999994,10.81,6.029999999999999,4.78,10.98
Anolis krugi,Female,Dactyloidae,Iguania,14,14,2.55,NA,32.82,11.23,6.77,5.85,11.43
Anolis limifrons,Female,Dactyloidae,Iguania,23,23,2.45,NA,41.75,11.520000000000001,5.9399999999999995,4.55,11.22
Anolis lineatopus,Female,Dactyloidae,Iguania,44,44,2.8200000000000003,NA,44.699999999999996,13.930000000000001,7.81,6.2,14.23
Anolis lionotus,Female,Dactyloidae,Iguania,11,11,13.64828726939094,NA,63.633750837000136,15.92664991614216,8.695989949685297,6.796992462263972,16.22564740356348
Anolis olssoni,Female,Dactyloidae,Iguania,31,31,2.72,NA,40,11.790000000000001,6.2,5.369999999999999,12.290000000000001
Anolis oxylophus,Female,Dactyloidae,Iguania,7,7,9.245751311064591,NA,59.18925442726494,14.51435285398744,8.361437827766148,6.776235235991626,14.873097932651316
Anolis poecilopus,Female,Dactyloidae,Iguania,7,7,11.952025917745214,NA,63.1717642699372,15.820182906430023,8.796862696659689,6.670405183549042,15.893725393319377
Anolis pulchellus,Female,Dactyloidae,Iguania,7,7,4.7,NA,44.300000000000004,14.96,7.25,6.02,15.4
Anolis sagrei,Female,Dactyloidae,Iguania,139,139,2.62,NA,39.14,12.06,7.130000000000001,5.619999999999999,12.06
Anolis sheplani,Female,Dactyloidae,Iguania,16,16,3.1399999999999997,NA,38.269999999999996,11.59,5.470000000000001,5.39,11.82
Anolis singularis,Female,Dactyloidae,Iguania,18,18,3.06,NA,35,11.950000000000001,7.34,5.779999999999999,12.32
Anolis smaragdinus,Female,Dactyloidae,Iguania,51,51,2.63,NA,45.74,14.25,7.53,5.49,14.56
Anolis stratulus,Female,Dactyloidae,Iguania,28,28,2.19,NA,39.09,12.8,7.710000000000001,6,12.8
Anolis valencienni,Female,Dactyloidae,Iguania,22,22,4.36,NA,60,17.700000000000003,9.040000000000001,7.41,17.720000000000002
Bradypodion melanocephalum,Female,Chamaeleonidae,Iguania,16,15,17.990000000000002,NA,58.42,12.08,7.92,7.359999999999999,11.91
Bradypodion thamnobates,Female,Chamaeleonidae,Iguania,25,25,41.09,NA,69.74,16.93,12.44,10.83,16.62
Iberolacerta horvathi,Female,Lacertidae,Lacertoidea,25,25,1.1400000000000001,NA,63.3,20.1,7.739999999999999,5.08,NA
Karusasaurus polyzonus,Female,Cordylidae,Scincoidea,20,20,36.46,NA,111.64,27.45,22.950000000000003,13.56,27.92
Dalmatolacerta oxycephala,Female,Lacertidae,Lacertoidea,13,13,3.5999999999999996,NA,58.3,14.2,7.8,5.5,15
Liolaemus baguali,Female,Liolaemidae,Iguania,2,2,12.903158005400378,NA,85.5376659402887,16.253553390593275,11.786101730552664,8.091665222413704,16.95698484809835
Liolaemus bibronii,Female,Liolaemidae,Iguania,4,4,3.06,NA,59.04,11.82,8.27,5.71,11.86
Liolaemus canqueli,Female,Liolaemidae,Iguania,4,4,13.37,NA,93,17.96,12.33,8.639999999999999,18.71
Liolaemus kriegi,Female,Liolaemidae,Iguania,5,5,6.46970583144992,NA,80.05715148309966,16.534852915724958,11.961934955049955,7.56304951684997,17.434427190999916
Liolaemus coeruleus,Female,Liolaemidae,Iguania,5,5,4.6238699100999074,NA,65.84147817412476,12.924295634824952,9.604295634824952,6.047213595499958,13.64790243257493
Liolaemus elongatus,Female,Liolaemidae,Iguania,9,9,7.8100000000000005,NA,69.67,15.1,9.629999999999999,6.3,15.309999999999999
Liolaemus escarchadosi,Female,Liolaemidae,Iguania,2,2,4.88,NA,69.57693434175953,15.032964645562817,9.432253967444161,6.028284271247462,15.21539105243401
Liolaemus fitzingerii,Female,Liolaemidae,Iguania,6,6,12.071714255958579,NA,95.90675497239096,18.686311204829778,12.121362230551458,8.737877538267963,19.0077754868246
Liolaemus hatcheri,Female,Liolaemidae,Iguania,5,5,2.888328157299975,NA,59.75137767414995,11.967770876399966,8.90304951684997,5.491246117974981,12.305410196624969
Liolaemus kingii,Female,Liolaemidae,Iguania,7,7,9.852875655532294,NA,81.356260659665665,15.945385498204544,10.486235235991627,7.4126927491022725,16.45955544576196
Liolaemus kolengh,Female,Liolaemidae,Iguania,4,4,2.69,NA,58.419999999999995,12.12,8.75,5.36,12.07
Liolaemus mapuche,Female,Liolaemidae,Iguania,5,5,7.965804865149861,NA,75.52685731454957,14.71665631459995,10.218328157299974,7.946099033699942,15.201377674149944
Liolaemus morenoi,Female,Liolaemidae,Iguania,7,7,10.042470471983252,NA,72.44301919127332,14.749150262212918,10.343320209770335,7.208745078663875,15.114980314655503
Liolaemus petrophilus,Female,Liolaemidae,Iguania,7,7,9.468666337285882,NA,85.47124097432116,19.159960629311005,12.251843011315191,7.689555445761961,20.007450786638756
Liolaemus rothi,Female,Liolaemidae,Iguania,3,3,7.209896904477143,NA,92.643304475317,19.35166604983954,14.373819952931274,9.489038105676658,20.912191638672116
Liolaemus sarmientoi,Female,Liolaemidae,Iguania,2,2,5.997401153701777,NA,74.99698484809835,15.11,10.520121933088197,7.910416305603426,15.96414213562373
Liolaemus tenuis,Female,Liolaemidae,Iguania,3,3,4.266935750346352,NA,56.63849870466303,12.99870489570875,7.721051177665153,5.171051177665153,12.802102355330305
Liolaemus xanthoviridis,Female,Liolaemidae,Iguania,2,2,11.17509667991878,NA,87.50754400720051,17.532964645562817,11.718233764908629,8.606812408671319,17.363675323681473
Liolaemus zullyae,Female,Liolaemidae,Iguania,3,3,5.916550992617015,NA,71.9039985196149,15.380999629903723,10.182102355330306,7.51157676649773,16.270807251039056
Ouroborus cataphractus,Female,Cordylidae,Scincoidea,20,20,47.480000000000004,NA,104.13,28.28,26.049999999999997,13.52,28.009999999999998
Podarcis melisellensis,Female,Lacertidae,Lacertoidea,13,13,2.6999999999999997,NA,53.699999999999996,11.9,6.3,5,13.3
Sauromalus ater,Female,Iguanidae,Iguania,15,15,28.445966692414835,203.98527517380012,166.40463505020892,28.13649167310371,22.661895003862224,13.349193338482968,NA
Tarentola mauritanica,Female,Phyllodactylidae,Gekkota,18,18,2.5300000000000002,NA,61.440000000000005,17.939999999999998,14.49,8.110000000000001,NA
Trogonophis wiegmanni,Female,Trogonophidae,Lacertoidea,10,10,6.091928851253882,8.406007159889242,163.69876183175901,7.10109609582189,5.4427188724235736,4.4427188724235736,NA
Urosaurus ornatus,Female,Phrynosomatidae,Iguania,9,9,5.0600000000000005,NA,54.18,11.399999999999999,9.24,6.289999999999999,NA
Xenosaurus grandis,Female,Xenosauridae,Anguimorpha,10,10,23.23,NA,120.58999999999999,29.28,23.67,14.24,30.55
Xenosaurus newmanorum,Female,Xenosauridae,Anguimorpha,13,13,20.91,NA,118.18,28.55,22.47,13.58,30.72
Xenosaurus platyceps,Female,Xenosauridae,Anguimorpha,15,15,14.95,NA,119.25,27.5,23.73,12.57,30.47
Gallotia galloti,Female,Lacertidae,Lacertoidea,24,24,50.400000000000006,NA,100,24.599999999999998,16.7,12.799999999999999,NA
Archaeolacerta bedriagae,Female,Lacertidae,Lacertoidea,7,7,6,NA,72.9,17.7,10.600000000000001,7.300000000000001,NA
Lacerta bilineata,Female,Lacertidae,Lacertoidea,2,2,16,NA,99.9,23.3,14.3,12.399999999999999,NA
Latastia longicaudata,Female,Lacertidae,Lacertoidea,4,4,5.3999999999999995,NA,83.1,19.400000000000002,10,8.3,NA
Podarcis liolepis,Female,Lacertidae,Lacertoidea,9,9,2.8000000000000003,NA,60.199999999999996,13.4,7.3,5.6000000000000005,NA
Podarcis hispanicus,Female,Lacertidae,Lacertoidea,17,17,2.6,NA,56.8,12.7,7.5,5.300000000000001,NA
Podarcis lilfordi,Female,Lacertidae,Lacertoidea,14,14,7.5,NA,63.7,16,9.3,7.1,NA
Podarcis tiliguerta,Female,Lacertidae,Lacertoidea,11,11,1.5,NA,54.2,12.1,6.5,5.199999999999999,NA
Psammodromus algirus,Female,Lacertidae,Lacertoidea,6,6,8.2,NA,72.4,17,10.8,8.1,NA
Salvator merianae,Female,Teiidae,Lacertoidea,9,9,287.53000000000003,NA,343.83,68.57,NA,NA,NA
Tupinambis teguixin,Female,Teiidae,Lacertoidea,2,2,63.66,NA,317.72,NA,NA,NA,NA
Anolis carolinensis,Female,Dactyloidae,Iguania,40,40,3.572455532033676,NA,53.27604989415154,NA,NA,NA,NA
