dataset,sex,tree,morph,lambda,residual_df,df_morph,F_morph,p_morph,adj.r2
mean,all,basic,SVL,0.9612519327869592,154,1,357.11356059700233,5.853197431137377e-42,0.6967405837971635
mean,female,basic,SVL,0.9750960462714138,105,1,243.23554938532163,4.271687986078188e-29,0.6956083312369947
mean,male,basic,SVL,0.9606266763268495,126,1,352.37256151753064,2.5950160124572216e-38,0.7345165458547189
mean,all,basic,HW,0.9863622234388026,137,1,381.4754950204342,2.0173339089396998e-41,0.7338350581167561
mean,female,basic,HW,0.9568185962440269,92,1,177.777374092183,3.273835719664496e-23,0.6552713128261755
mean,male,basic,HW,0.9048044757462503,112,1,392.88303233158183,2.0289521542316027e-38,0.7761857841049662
mean,all,basic,HH,0.5378077026937826,131,1,623.9158821423568,1.1537001225670218e-51,0.8251460816728342
mean,female,basic,HH,0.9400311612288916,92,1,242.62522918168213,1.55411480560197e-27,0.7220771421586196
mean,male,basic,HH,1e-6,111,1,686.5771166359415,2.3837693508683748e-49,0.8595747073682368
mean,all,basic,HL,0.9392344843328367,131,1,308.840672294464,2.906054455137246e-36,0.6998913281224961
mean,female,basic,HL,0.9521839339211001,93,1,146.04653732164053,9.029935854466192e-21,0.6067711289474916
mean,male,basic,HL,0.9062448648627196,113,1,292.31373953790575,4.005762235645623e-33,0.7187364037301812
