Sex,morph,covariate,category,n
Both,SVL,diet,Carnivorous,113
Both,SVL,diet,Herbivorous,11
Both,SVL,diet,Omnivorous,34
Female,SVL,diet,Carnivorous,76
Female,SVL,diet,Herbivorous,7
Female,SVL,diet,Omnivorous,28
Male,SVL,diet,Carnivorous,91
Male,SVL,diet,Herbivorous,11
Male,SVL,diet,Omnivorous,29
Both,SVL,arboreal,Arboreal,68
Both,SVL,arboreal,Other,93
Female,SVL,arboreal,Arboreal,56
Female,SVL,arboreal,Other,56
Male,SVL,arboreal,Arboreal,62
Male,SVL,arboreal,Other,70
Both,SVL,fossorial,Fossorial,13
Both,SVL,fossorial,Other,148
Female,SVL,fossorial,Fossorial,1
Female,SVL,fossorial,Other,111
Male,SVL,fossorial,Fossorial,1
Male,SVL,fossorial,Other,131
Both,HW,diet,Carnivorous,97
Both,HW,diet,Herbivorous,11
Both,HW,diet,Omnivorous,31
Female,HW,diet,Carnivorous,62
Female,HW,diet,Herbivorous,7
Female,HW,diet,Omnivorous,26
Male,HW,diet,Carnivorous,76
Male,HW,diet,Herbivorous,11
Male,HW,diet,Omnivorous,27
Both,HW,arboreal,Arboreal,52
Both,HW,arboreal,Other,90
Female,HW,arboreal,Arboreal,42
Female,HW,arboreal,Other,54
Male,HW,arboreal,Arboreal,47
Male,HW,arboreal,Other,68
Both,HW,fossorial,Fossorial,13
Both,HW,fossorial,Other,129
Female,HW,fossorial,Fossorial,1
Female,HW,fossorial,Other,95
Male,HW,fossorial,Fossorial,1
Male,HW,fossorial,Other,114
Both,HL,diet,Carnivorous,91
Both,HL,diet,Herbivorous,11
Both,HL,diet,Omnivorous,31
Female,HL,diet,Carnivorous,62
Female,HL,diet,Herbivorous,7
Female,HL,diet,Omnivorous,27
Male,HL,diet,Carnivorous,76
Male,HL,diet,Herbivorous,11
Male,HL,diet,Omnivorous,28
Both,HL,arboreal,Arboreal,50
Both,HL,arboreal,Other,86
Female,HL,arboreal,Arboreal,42
Female,HL,arboreal,Other,55
Male,HL,arboreal,Arboreal,48
Male,HL,arboreal,Other,68
Both,HL,fossorial,Fossorial,13
Both,HL,fossorial,Other,123
Female,HL,fossorial,Fossorial,1
Female,HL,fossorial,Other,96
Male,HL,fossorial,Fossorial,1
Male,HL,fossorial,Other,115
Both,HH,diet,Carnivorous,92
Both,HH,diet,Herbivorous,11
Both,HH,diet,Omnivorous,30
Female,HH,diet,Carnivorous,62
Female,HH,diet,Herbivorous,7
Female,HH,diet,Omnivorous,26
Male,HH,diet,Carnivorous,75
Male,HH,diet,Herbivorous,11
Male,HH,diet,Omnivorous,27
Both,HH,arboreal,Arboreal,51
Both,HH,arboreal,Other,85
Female,HH,arboreal,Arboreal,42
Female,HH,arboreal,Other,54
Male,HH,arboreal,Arboreal,47
Male,HH,arboreal,Other,67
Both,HH,fossorial,Fossorial,13
Both,HH,fossorial,Other,123
Female,HH,fossorial,Fossorial,1
Female,HH,fossorial,Other,95
Male,HH,fossorial,Fossorial,1
Male,HH,fossorial,Other,113
