Family,HigherTaxonomy,MeanBF,SeBF,n()
Agamidae,Acrodonta,3.927,0.453,5
Anguidae,Anguimorpha,1.785,NA,1
Chamaeleonidae,Acrodonta,2.587,0.178,13
Cordylidae,Scincoidea,3.508,0.318,3
Crotaphytidae,Pleurodonta,3.362,0.895,2
Dactyloidae,Pleurodonta,1.93,0.183,40
Gekkonidae,Gekkota,3.371,NA,1
Iguanidae,Pleurodonta,3.641,0.697,2
Lacertidae,Lacertoidea,2.61,0.247,31
Liolaemidae,Pleurodonta,2.032,0.113,19
Phrynosomatidae,Pleurodonta,1.79,0.194,7
Phyllodactylidae,Gekkota,1.701,NA,1
Scincidae,Scincoidea,1.121,0.398,23
Sphenodontidae,Rhynchocephalia,5.153,NA,1
Teiidae,Lacertoidea,4.05,1.006,5
Trogonophidae,Lacertoidea,2.079,NA,1
Tropiduridae,Pleurodonta,3.603,0.204,2
Varanidae,Anguimorpha,4.461,NA,1
Xenosauridae,Anguimorpha,2.825,0.154,3
